#GC Content (%)	Sample
1.0	2.229654403567447E-4
2.0	0.0
3.0	2.229654403567447E-4
4.0	2.229654403567447E-4
5.0	4.459308807134894E-4
6.0	8.918617614269788E-4
7.0	6.688963210702342E-4
8.0	8.918617614269788E-4
9.0	8.918617614269788E-4
10.0	0.002452619843924192
11.0	0.0011148272017837235
12.0	0.0013377926421404682
13.0	0.0035674470457079154
14.0	0.003344481605351171
15.0	0.0024526198439241914
16.0	0.002452619843924192
17.0	0.0031215161649944265
18.0	0.004905239687848384
19.0	0.0026755852842809363
20.0	0.0046822742474916385
21.0	0.002898550724637681
22.0	0.0053511705685618735
23.0	0.005128205128205128
24.0	0.0035674470457079154
25.0	0.005128205128205129
26.0	0.005128205128205129
27.0	0.00802675585284281
28.0	0.007357859531772576
29.0	0.006465997770345596
30.0	0.005797101449275363
31.0	0.005128205128205128
32.0	0.006688963210702342
33.0	0.00802675585284281
34.0	0.006688963210702342
35.0	0.006911928651059086
36.0	0.01181716833890747
37.0	0.0064659977703455974
38.0	0.00423634336677815
39.0	0.006243032329988852
40.0	0.009587513935340023
41.0	0.004905239687848383
42.0	0.004905239687848384
43.0	0.0026755852842809363
44.0	0.0013377926421404682
45.0	0.002229654403567447
46.0	0.003121516164994426
47.0	0.0028985507246376808
48.0	0.004013377926421404
49.0	0.0033444816053511705
50.0	0.003121516164994426
51.0	0.0015607580824972128
52.0	0.0015607580824972128
53.0	0.0015607580824972128
54.0	0.0013377926421404682
55.0	0.0024526198439241914
56.0	0.0013377926421404682
57.0	6.688963210702342E-4
58.0	0.0031215161649944256
59.0	0.002452619843924192
60.0	0.004013377926421405
61.0	0.0011148272017837235
62.0	0.0011148272017837235
63.0	0.0011148272017837235
64.0	0.0020066889632107026
65.0	0.002229654403567447
66.0	0.0013377926421404684
67.0	0.0013377926421404682
68.0	0.0011148272017837235
69.0	8.918617614269788E-4
70.0	8.918617614269788E-4
71.0	6.688963210702342E-4
72.0	0.0011148272017837235
73.0	2.229654403567447E-4
74.0	0.0022296544035674474
75.0	2.229654403567447E-4
76.0	2.229654403567447E-4
77.0	8.918617614269788E-4
78.0	4.459308807134894E-4
79.0	8.918617614269788E-4
80.0	6.688963210702342E-4
81.0	8.918617614269788E-4
82.0	0.0011148272017837235
83.0	8.918617614269788E-4
84.0	0.0026755852842809363
85.0	0.0026755852842809363
86.0	0.0017837235228539577
87.0	0.003121516164994426
88.0	0.0020066889632107026
89.0	0.0011148272017837235
90.0	4.459308807134894E-4
91.0	8.918617614269788E-4
92.0	8.918617614269788E-4
93.0	0.0017837235228539575
94.0	0.002229654403567447
95.0	0.008249721293199553
96.0	0.02185061315496098
97.0	0.06599777034559644
98.0	0.17324414715719064
99.0	0.36031215161649943
100.0	0.11125975473801561
