#Position (bp)	insert size
4123039.0	20.1
1.2369116E7	20.642857142857142
2.0615193E7	19.75
2.886127E7	20.22222222222222
3.7107347E7	20.428571428571427
4.5353424E7	20.0
5.3599501E7	20.7
6.1845578E7	22.285714285714285
7.0091655E7	19.5
7.8337732E7	20.285714285714285
8.6583809E7	20.4
9.4829886E7	20.142857142857142
1.03075963E8	19.714285714285715
1.1132204E8	20.25
1.19568117E8	20.5
1.27814194E8	0.0
1.36060271E8	0.0
1.44306348E8	23.0
1.52552425E8	20.8
1.60798502E8	20.8
1.69044579E8	20.2
1.77290656E8	20.5
1.85536733E8	20.0
1.9378281E8	19.5
2.02028887E8	19.8
2.10274964E8	20.0
2.18521041E8	19.2
2.26767118E8	20.625
2.35013195E8	20.5
2.43259272E8	19.846153846153847
2.481693665E8	20.0
2.4904395E8	0.0
2.491474935E8	0.0
2.492273505E8	0.0
2.493246215E8	0.0
2.493781395E8	0.0
2.494193325E8	0.0
2.49528459E8	0.0
2.49636853E8	0.0
2.49678084E8	0.0
2.52663665E8	21.0
2.59751426E8	19.22222222222222
2.67997503E8	20.153846153846153
2.7624358E8	20.363636363636363
2.84489657E8	21.583333333333332
2.92735734E8	20.428571428571427
3.00981811E8	20.833333333333332
3.09227888E8	20.181818181818183
3.17473965E8	20.5
3.25720042E8	19.75
3.33966119E8	20.333333333333332
3.42212196E8	19.833333333333332
3.50458273E8	20.0
3.5870435E8	20.333333333333332
3.66950427E8	20.125
3.75196504E8	19.75
3.83442581E8	21.22222222222222
3.91688658E8	20.5
3.99934735E8	23.166666666666668
4.08180812E8	19.428571428571427
4.16426889E8	20.53846153846154
4.24672966E8	20.166666666666668
4.32919043E8	19.5
4.4116512E8	19.25
4.49411197E8	19.833333333333332
4.57657274E8	19.875
4.65903351E8	19.444444444444443
4.74149428E8	19.666666666666668
4.82395505E8	19.8
4.892055075E8	20.875
4.91973207E8	0.0
4.92130842E8	0.0
4.93486181E8	19.666666666666668
4.98887659E8	22.0
5.07133736E8	20.0
5.15379813E8	20.5
5.2362589E8	21.0
5.31871967E8	19.8
5.40118044E8	20.22222222222222
5.48364121E8	20.0
5.56610198E8	19.833333333333332
5.64856275E8	21.384615384615383
5.73102352E8	20.2
5.81348429E8	20.4
5.89594506E8	20.22222222222222
5.97840583E8	19.5
6.0608666E8	19.6
6.14332737E8	21.666666666666668
6.22578814E8	20.0
6.30824891E8	20.071428571428573
6.39070968E8	20.2
6.47317045E8	20.285714285714285
6.55563122E8	19.75
6.63809199E8	20.666666666666668
6.72055276E8	20.2
6.80301353E8	21.2
6.87463846E8	20.125
6.90580999E8	0.0
6.91664583E8	20.727272727272727
6.96793507E8	19.428571428571427
7.05039584E8	19.11111111111111
7.13285661E8	20.0
7.21531738E8	19.8
7.29777815E8	20.555555555555557
7.38023892E8	20.5
7.46269969E8	19.875
7.54516046E8	19.8
7.62762123E8	19.727272727272727
7.710082E8	19.857142857142858
7.79254277E8	19.75
7.87500354E8	22.0
7.95746431E8	20.5
8.03992508E8	19.88888888888889
8.12238585E8	21.428571428571427
8.20484662E8	20.4
8.28730739E8	20.7
8.36976816E8	19.857142857142858
8.45222893E8	20.5
8.5346897E8	21.166666666666668
8.61715047E8	20.076923076923077
8.69961124E8	20.09090909090909
8.774787075E8	20.0
8.80978107E8	0.0
8.817066005E8	20.5
8.86453278E8	20.384615384615383
8.94699355E8	20.5
9.02945432E8	20.0
9.11191509E8	20.0
9.19437586E8	20.0
9.27683663E8	22.0
9.3592974E8	19.857142857142858
9.44175817E8	19.833333333333332
9.52421894E8	19.2
9.60667971E8	20.583333333333332
9.68914048E8	20.333333333333332
9.77160125E8	20.2
9.85406202E8	19.8
9.93652279E8	20.2
1.001898356E9	19.666666666666668
1.010144433E9	20.2
1.01839051E9	20.90909090909091
1.026636587E9	20.0
1.034882664E9	20.545454545454547
1.043128741E9	20.285714285714285
1.051374818E9	20.444444444444443
1.0590595385E9	20.0
1.062667565E9	0.0
1.0632289215E9	19.75
1.067866972E9	20.0
1.076113049E9	20.333333333333332
1.084359126E9	20.25
1.092605203E9	19.666666666666668
1.10085128E9	19.5
1.109097357E9	20.5
1.117343434E9	21.5
1.125589511E9	20.5
1.133835588E9	20.285714285714285
1.142081665E9	19.0
1.150327742E9	19.857142857142858
1.158573819E9	20.25
1.166819896E9	20.333333333333332
1.175065973E9	20.428571428571427
1.18331205E9	20.666666666666668
1.191558127E9	19.555555555555557
1.199804204E9	19.333333333333332
1.208050281E9	20.5
1.216296358E9	20.307692307692307
1.224542435E9	20.416666666666668
1.231092681E9	20.083333333333332
1.2352157195E9	20.0625
1.241034589E9	19.714285714285715
1.249280666E9	19.5
1.257526743E9	19.2
1.26577282E9	20.076923076923077
1.274018897E9	19.666666666666668
1.282264974E9	19.4
1.290511051E9	20.272727272727273
1.298757128E9	20.0
1.307003205E9	19.181818181818183
1.315249282E9	19.833333333333332
1.323495359E9	20.5
1.331741436E9	20.4
1.339987513E9	20.571428571428573
1.34823359E9	20.0
1.356479667E9	19.5
1.364725744E9	20.0
1.372971821E9	19.666666666666668
1.381217898E9	19.5
1.389103399E9	20.133333333333333
1.3932264375E9	19.333333333333332
1.397710052E9	19.5
1.405956129E9	19.6
1.414202206E9	19.727272727272727
1.422448283E9	19.666666666666668
1.43069436E9	19.5
1.438940437E9	20.333333333333332
1.447186514E9	21.0
1.455432591E9	20.25
1.463678668E9	20.5
1.471924745E9	20.5
1.480170822E9	25.0
1.488416899E9	20.555555555555557
1.496662976E9	20.6
1.504909053E9	20.571428571428573
1.51315513E9	21.0
1.521401207E9	19.666666666666668
1.529647284E9	20.0
1.53588741E9	19.733333333333334
1.5400104485E9	19.8
1.546139438E9	20.8
1.554385515E9	20.0
1.562631592E9	19.125
1.570877669E9	19.8
1.579123746E9	20.75
1.587369823E9	19.0
1.5956159E9	0.0
1.603861977E9	20.0
1.612108054E9	21.0
1.620354131E9	20.0
1.628600208E9	19.8
1.636846285E9	19.75
1.645092362E9	21.0
1.653338439E9	19.9
1.661584516E9	19.636363636363637
1.669830593E9	19.956521739130434
1.675176423E9	19.733333333333334
1.6764192455E9	0.0
1.6764583035E9	0.0
1.676565753E9	0.0
1.6766737005E9	0.0
1.679446467E9	19.0
1.686322747E9	19.555555555555557
1.694568824E9	20.833333333333332
