#Read position (bp)	Clipping profile
0.0	5.716049952303841
1.0	0.8056686949447271
2.0	0.7997066751228793
3.0	0.7929648815913622
4.0	0.7847610123542148
5.0	0.7771257281137014
6.0	0.7694741985875698
7.0	0.7632684994814505
8.0	0.7577288570856737
9.0	0.7533263846831649
10.0	0.7491513462793097
11.0	0.7455286475864704
12.0	0.7417272507518318
13.0	0.7378283822034846
14.0	0.7345143439373893
15.0	0.7312327962425303
16.0	0.7280974561182344
17.0	0.7247834178521393
18.0	0.721875511726497
19.0	0.7196174170255791
20.0	0.7173593223246614
21.0	0.7166282844718463
22.0	0.7151337181949798
23.0	0.7136229066324953
24.0	0.7120146233563021
25.0	0.7106337740787624
26.0	0.7093828870861676
27.0	0.7085056416627895
28.0	0.7074659433832302
29.0	0.7066374338167064
30.0	1.1565831095815995
31.0	1.0365304488637397
32.0	0.9768777600740266
33.0	0.9329180171914111
34.0	0.8425130027266088
35.0	0.971500570534431
36.0	0.9193532037002862
37.0	0.8638755533144282
38.0	0.8233273204116166
39.0	0.8466555505592277
40.0	0.8118581487652283
41.0	0.7922338437385471
42.0	0.7899919943232475
43.0	0.7935334665879961
44.0	0.8031831662451557
45.0	0.7948818252942996
46.0	0.8009088262586197
47.0	0.7960189952875676
48.0	0.8036380342424628
49.0	0.8061235629420342
50.0	0.7988944108419737
51.0	0.8096325446355468
52.0	0.8073582046490108
53.0	0.8062047893701247
54.0	0.8065621856537234
55.0	0.802224694393687
56.0	0.7978059767055601
57.0	0.7935659571592323
58.0	0.7967500331403827
59.0	0.7889035601868337
60.0	0.7873927486243493
61.0	0.7842898990712894
62.0	0.7784578415343867
63.0	0.7646168581877539
64.0	0.7562830266656616
65.0	0.7465683458660297
66.0	0.7429456471731903
67.0	0.7426694773176824
68.0	0.7351316647908777
69.0	0.7272039654092383
70.0	0.7278700221195809
71.0	0.7233700780033634
72.0	0.7259693237022616
73.0	0.7193574924556894
74.0	0.7145651331983458
75.0	0.7060363582488363
76.0	0.7012115084202565
77.0	0.7002043007119334
78.0	0.6983523381514685
79.0	0.6963866585916767
80.0	0.6940635827482865
81.0	0.6926339976138924
82.0	0.6883127516394743
83.0	0.6838940339513473
84.0	0.6796377691194015
85.0	0.6747479381483494
86.0	0.6696956543211161
87.0	0.6653744083466978
88.0	0.6603546150907007
89.0	0.6549936708367232
90.0	0.647683292308572
91.0	0.6413151403462716
92.0	0.6344921203866638
93.0	0.6268893267173866
94.0	0.6204886841838498
95.0	0.6109851920972533
96.0	0.6016603981524562
97.0	0.5926930004912574
98.0	0.5821823006963379
99.0	0.5729712237508675
100.0	0.5629316372388732
101.0	0.5530382582974421
102.0	0.541016746940038
103.0	0.5285891034421811
104.0	0.518143384789734
105.0	0.505553288435696
106.0	0.49387292807627226
107.0	0.48141279400717907
108.0	0.46898515050932216
109.0	0.45658999758270147
110.0	0.4438049578012461
111.0	0.43129608787529855
112.0	0.4184948028082251
113.0	0.4040202533224858
114.0	0.39008179826214434
115.0	0.3767931546265274
116.0	0.3627572278524772
117.0	0.3493873577887697
118.0	0.33562760087022747
119.0	0.3212830136694331
120.0	0.30708463403920183
121.0	0.29249636755413577
122.0	0.2935523111193132
123.0	0.2949981415393253
124.0	0.2962002926750657
125.0	0.29767861366631404
126.0	0.29990421779599563
127.0	0.3030395579202915
128.0	0.30615865275896936
129.0	0.3102687100203521
130.0	0.31408635214060876
131.0	0.3182776358300821
132.0	0.32319995737237056
133.0	0.3289020526243284
134.0	0.33436046859201457
135.0	0.3403549789850985
136.0	0.34656067809121793
137.0	0.3520840752013765
138.0	0.3585172083061495
139.0	0.36506405841024936
140.0	0.3722932105103099
141.0	0.38035087217689423
142.0	0.38809987341673446
143.0	0.396190025654555
144.0	0.4045563477478835
145.0	0.4130201415549208
146.0	0.42453804905816334
147.0	0.4350000129962285
148.0	0.44373997665877357
149.0	0.4497832229087119
150.0	0.4497832229087119
